자치구,총 계,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년,최근증가율
종로구,2339.0,146.0,76.0,115.0,137.0,68.0,231.0,86.0,234.0,924.0,322.0,1.7229336437718277
중 구,3118.0,356.0,219.0,366.0,385.0,159.0,352.0,416.0,137.0,135.0,593.0,0.38393253439857966
용산구,3609.0,24.0,124.0,454.0,119.0,335.0,625.0,431.0,457.0,411.0,629.0,0.7088068181818182
성동구,4638.0,1295.0,228.0,881.0,383.0,477.0,386.0,294.0,170.0,320.0,204.0,0.17596348884381338
광진구,4636.0,247.0,38.0,660.0,465.0,710.0,194.0,744.0,276.0,348.0,954.0,0.5160235448005233
동대문구,3846.0,0.0,1563.0,136.0,197.0,209.0,223.0,197.0,234.0,509.0,578.0,0.5231683168316832
중랑구,5392.0,541.0,160.0,182.0,209.0,1070.0,992.0,604.0,346.0,433.0,855.0,0.4348057477381586
성북구,4906.0,338.0,394.0,386.0,766.0,667.0,209.0,407.0,363.0,415.0,961.0,0.5491000947268708
강북구,3584.0,41.0,195.0,1.0,349.0,938.0,545.0,408.0,652.0,375.0,80.0,0.44691158659668956
도봉구,2808.0,0.0,3.0,71.0,136.0,146.0,154.0,545.0,540.0,638.0,575.0,1.6616113744075829
노원구,4105.0,404.0,293.0,156.0,206.0,314.0,383.0,213.0,161.0,623.0,1352.0,1.0848146267140681
은평구,5683.0,834.0,487.0,355.0,578.0,974.0,391.0,519.0,483.0,441.0,621.0,0.37336877718704686
서대문구,4218.0,225.0,551.0,553.0,385.0,343.0,595.0,216.0,498.0,433.0,419.0,0.4707112970711297
마포구,3809.0,132.0,453.0,368.0,364.0,494.0,298.0,177.0,124.0,827.0,572.0,0.6662292213473315
양천구,4854.0,73.0,414.0,557.0,823.0,322.0,346.0,355.0,388.0,993.0,583.0,0.6795847750865052
강서구,3874.0,475.0,165.0,410.0,259.0,454.0,362.0,440.0,601.0,424.0,284.0,0.5103313840155945
구로구,5694.0,14.0,256.0,535.0,534.0,784.0,749.0,684.0,336.0,484.0,1318.0,0.6012373453318335
금천구,3458.0,92.0,130.0,196.0,539.0,366.0,514.0,207.0,304.0,825.0,285.0,0.6917808219178082
영등포구,5133.0,621.0,284.0,354.0,769.0,66.0,1307.0,288.0,434.0,437.0,573.0,0.3914339929520195
동작구,3664.0,549.0,228.0,261.0,298.0,312.0,430.0,31.0,359.0,427.0,769.0,0.7373162636320532
관악구,6614.0,935.0,601.0,668.0,662.0,889.0,402.0,550.0,138.0,744.0,1025.0,0.40514127894625024
서초구,6036.0,679.0,511.0,1019.0,416.0,332.0,419.0,565.0,882.0,469.0,744.0,0.5315909667597056
강남구,8352.0,590.0,1119.0,918.0,721.0,735.0,909.0,571.0,527.0,923.0,1339.0,0.5013481934208162
송파구,4665.0,366.0,133.0,233.0,517.0,1042.0,235.0,148.0,372.0,940.0,679.0,0.7445774121166792
강동구,4238.0,725.0,202.0,273.0,377.0,356.0,614.0,262.0,381.0,359.0,689.0,0.5087219651121395
